Arsyi Syarief Aziz;4321Ea;1000001;123456;
0;27/05/2020 21:31:04;123;
1;27/05/2020 21:31:53;10;
1;27/05/2020 21:32:22;113;
0;27/05/2020 21:35:00;131313;
3;27/05/2020 21:55:17;131313;1000002
0;27/05/2020 21:56:14;100;
3;27/05/2020 21:57:05;10;1000002
3;27/05/2020 22:06:56;1;2000001
3;27/05/2020 22:07:12;1;2000001
3;27/05/2020 22:10:00;10;2000001
3;27/05/2020 22:12:20;78;2000001
0;27/05/2020 22:12:47;69;
3;27/05/2020 22:12:54;69;2000001
0;27/05/2020 22:15:19;10;
3;27/05/2020 22:15:23;10;2000001
0;27/05/2020 22:24:13;69;
3;27/05/2020 22:24:22;69;2000001
